"chillutah","chillports","gdd","mat.lo","siteslist","year","lat","long","lat.long","cc","lo","mat60","mat30","mat45"
1620,92.0880154716068,44.0546069170051,5.53887084393852,4,1956,48.8333,12.9667,"48.8333 12.9667","1950-1970",116,3.89098351958712,4.36370957988284,5.88586943365795
2508,117.572776504202,62.1947651103428,7.50258047746555,4,1957,48.8333,12.9667,"48.8333 12.9667","1950-1970",98,6.74385230827954,-0.381290314058142,6.86923897689532
1512,90.0214783397238,49.2024901964873,6.06370954188488,4,1958,48.8333,12.9667,"48.8333 12.9667","1950-1970",125,1.51540980219352,0.41741934550866,5.64566654047618
2196,105.258298130088,46.0825691207901,6.43499985616654,4,1959,48.8333,12.9667,"48.8333 12.9667","1950-1970",96,7.32270475435758,2.20064511210207,7.13456505792134
2292,103.6574191235,48.0648024008382,6.34548372913512,4,1960,48.8333,12.9667,"48.8333 12.9667","1950-1970",102,5.8670490491891,2.93838703109612,2.4959782050801
1896,97.3290884269485,72.2071957682191,7.1272579052095,4,1961,48.8333,12.9667,"48.8333 12.9667","1950-1970",100,8.04901621353309,0.409516119878859,2.33822216995888
1392,87.012019975462,80.5330992843514,6.34887082583361,4,1962,48.8333,12.9667,"48.8333 12.9667","1950-1970",113,3.88983597862916,5.95322567338665,2.69380428761487
1584,76.76396594755,64.616503316497,6.22064502224807,4,1963,48.8333,12.9667,"48.8333 12.9667","1950-1970",111,4.49483596510635,6.80677404140513,4.97728249744472
1788,90.8771696965745,56.1339855048213,6.58741920759841,4,1964,48.8333,12.9667,"48.8333 12.9667","1950-1970",110,4.41172121286575,0.681612887990571,3.48322214436614
1764,95.7540660459772,29.8532255956234,6.392419211957,4,1965,48.8333,12.9667,"48.8333 12.9667","1950-1970",115,3.4018032026523,3.21225799271657,3.37489122891313
1692,97.9768829045637,25.8212868984965,3.61645153206923,4,1966,48.8333,12.9667,"48.8333 12.9667","1950-1970",100,5.78688511655467,3.52419346961523,2.8729347183936
2124,103.311463934636,31.0583401759234,4.81822569875587,4,1967,48.8333,12.9667,"48.8333 12.9667","1950-1970",104,5.12811463947606,3.79564507645104,6.53977763160235
1536,92.0928052289305,37.6725363936012,4.44709667479319,4,1968,48.8333,12.9667,"48.8333 12.9667","1950-1970",97,5.58237692440448,1.75112899311728,2.79923906786691
1548,88.8647755233857,44.0977041240166,5.1791934326231,4,1969,48.8333,12.9667,"48.8333 12.9667","1950-1970",116,4.51754088263165,2.39274188200192,3.9996738236438
1584,82.7473289685813,42.4977996131592,4.8325805371447,4,1970,48.8333,12.9667,"48.8333 12.9667","1950-1970",117,2.71377043114578,1.01580642890786,2.71944438366012
2604,128.538652601698,21.8377494045801,4.99790311409461,5,1951,50.4167,10.3833,"50.4167 10.3833","1950-1970",110,4.7808195652715,2.44435478407409,3.58347818077258
2220,114.75884176378,139.370261675664,8.08032240003588,5,1952,50.4167,10.3833,"50.4167 10.3833","1950-1970",109,7.13844246339419,3.22854831493309,5.25011099376198
2136,109.159450648397,75.9973059901361,7.288709514504,5,1953,50.4167,10.3833,"50.4167 10.3833","1950-1970",99,7.34401622929107,4.78870957038335,6.49815202866802
2256,115.715626274977,33.8440259423618,6.13161276617358,5,1954,50.4167,10.3833,"50.4167 10.3833","1950-1970",120,5.39409824008824,3.03467735152451,2.51065211779559
1668,98.5612443733358,91.0126303777209,7.6037095074632,5,1955,50.4167,10.3833,"50.4167 10.3833","1950-1970",122,3.66467204923574,-1.11790320081937,3.65699991825968
1944,99.2224758006169,45.7338644288069,5.98870954356126,5,1956,50.4167,10.3833,"50.4167 10.3833","1950-1970",123,4.50508186651669,4.98338698538681,6.47597811612017
2688,127.447900654914,58.3165913810896,7.05774177773105,5,1957,50.4167,10.3833,"50.4167 10.3833","1950-1970",112,7.33860639334641,-0.216451608065155,7.75315200061659
1944,104.080811540143,54.4727952506757,6.50935469321426,5,1958,50.4167,10.3833,"50.4167 10.3833","1950-1970",123,2.12401634596716,0.608548373494658,6.37966652407
2472,116.661371977948,102.617742809511,8.67499980609864,5,1959,50.4167,10.3833,"50.4167 10.3833","1950-1970",105,8.38122932086164,3.15822573585976,7.84141286820902
2460,114.0621482879,62.4538790187668,6.9967740371583,5,1960,50.4167,10.3833,"50.4167 10.3833","1950-1970",101,6.54057362429859,4.16145151988753,3.3280434038733
1992,108.528437286154,77.511444779715,7.53693531540733,5,1961,50.4167,10.3833,"50.4167 10.3833","1950-1970",97,8.68778669105873,0.803225788498117,2.38922216881894
1764,97.095763665928,95.2723534631942,7.2893546757799,5,1962,50.4167,10.3833,"50.4167 10.3833","1950-1970",114,4.18147531637281,5.43774181394087,3.66499991808087
1812,86.2204125009449,60.5023318266721,6.35612889018751,5,1963,50.4167,10.3833,"50.4167 10.3833","1950-1970",111,5.01598349444141,6.13435470159616,5.6202172656827
1980,106.507694538682,68.0626209904752,6.71983855947732,5,1964,50.4167,10.3833,"50.4167 10.3833","1950-1970",110,4.64418022406333,1.18354836064241,4.15377768493361
2088,109.273677533731,48.0861721718635,7.11064500235502,5,1965,50.4167,10.3833,"50.4167 10.3833","1950-1970",124,4.26377039650058,4.97354827592931,3.42228253220167
1992,111.866736635119,64.6665706211,6.87935468494411,5,1966,50.4167,10.3833,"50.4167 10.3833","1950-1970",110,6.4007375618504,4.30903216175014,3.22152166712381
2304,112.833243310558,48.7564287690635,6.66629017357744,5,1967,50.4167,10.3833,"50.4167 10.3833","1950-1970",110,5.98803265304228,4.18290313231128,6.23788874946121
1560,96.7350979587253,85.2548863149347,7.37612886738873,5,1968,50.4167,10.3833,"50.4167 10.3833","1950-1970",110,6.33688510426122,1.90951608635125,3.67793470040045
1584,90.7698008062768,77.7041001325814,7.09854822843185,5,1969,50.4167,10.3833,"50.4167 10.3833","1950-1970",121,4.31106547741067,3.08596767295873,3.89913034763025
1632,93.9988840041141,85.4156483030717,7.27935467600342,5,1970,50.4167,10.3833,"50.4167 10.3833","1950-1970",127,3.14098353635092,2.39629026901938,3.09422215306097
1980,109.954287898823,33.4442619077764,5.70322567897458,6,1951,48.5833,12.1833,"48.5833 12.1833","1950-1970",111,5.01852447799117,2.67338703701934,3.71021730837453
2028,108.307349957184,97.6492698675446,6.96677403782885,6,1952,48.5833,12.1833,"48.5833 12.1833","1950-1970",108,6.45770477369183,2.76096768022305,4.28088879320357
1704,98.830404190944,88.6113239590997,8.65999980643392,6,1953,48.5833,12.1833,"48.5833 12.1833","1950-1970",111,6.97721295880123,5.01193537184548,6.18119551401342
2052,108.20795709237,34.3820373406678,5.92790309330749,6,1954,48.5833,12.1833,"48.5833 12.1833","1950-1970",119,5.39024578115796,2.68129026264914,2.17391299488752
1632,96.3369748466915,74.878657251525,6.91129016810127,6,1955,48.5833,12.1833,"48.5833 12.1833","1950-1970",121,3.30737697525469,-1.29193545499396,3.44122214530491
1764,96.6066585025902,56.0911765039983,6.23903211861128,6,1956,48.5833,12.1833,"48.5833 12.1833","1950-1970",120,4.37327859077419,4.89870956792466,6.37565203140611
2556,124.430190295916,75.0447734988634,7.52999983169138,6,1957,48.5833,12.1833,"48.5833 12.1833","1950-1970",104,7.05581951442129,0.273709671301467,7.10086940650059
1776,97.4158139897394,34.4242383754338,5.5245160055497,6,1958,48.5833,12.1833,"48.5833 12.1833","1950-1970",120,2.10008192027263,0.99129030042358,6.20877763900078
2388,111.775404849876,47.071097993465,6.50258049981729,6,1959,48.5833,12.1833,"48.5833 12.1833","1950-1970",95,7.54278671665148,3.11677412388306,8.03130416831245
2328,106.739283904752,51.8467765864742,6.55177404710482,6,1960,48.5833,12.1833,"48.5833 12.1833","1950-1970",100,6.38008182460717,4.11822571440209,3.35195644681706
1980,101.325653023073,43.5159670446723,6.5070966287486,6,1961,48.5833,12.1833,"48.5833 12.1833","1950-1970",92,8.79549160668413,1.23129029505916,2.95888882275257
1620,94.9251279172643,84.1798598961813,6.71129017257162,6,1962,48.5833,12.1833,"48.5833 12.1833","1950-1970",112,4.56483596354173,6.15935470103737,3.53456513838762
1620,80.1879656949315,78.0203915308484,7.15064500146095,6,1963,48.5833,12.1833,"48.5833 12.1833","1950-1970",112,5.25114742361131,6.98935468248542,5.8879346510031
1728,97.897301881543,50.6914174299039,6.24532244105132,6,1964,48.5833,12.1833,"48.5833 12.1833","1950-1970",108,5.04852447732062,1.6482257696109,4.48522212196969
1872,102.326995803711,49.5752686937266,7.34548370678338,6,1965,48.5833,12.1833,"48.5833 12.1833","1950-1970",122,4.22737695469109,4.534032156721,4.38391294549017
1860,106.111812224848,65.6815339791809,6.5829030786671,6,1966,48.5833,12.1833,"48.5833 12.1833","1950-1970",106,6.70598345666696,4.50338699611565,3.24923905780863
2124,108.202004121046,26.0965376412922,5.08048375741008,6,1967,48.5833,12.1833,"48.5833 12.1833","1950-1970",102,6.0082785542291,4.98661279176632,7.06888873088691
1428,93.8665071706045,68.1005998776092,7.18419338780786,6,1968,48.5833,12.1833,"48.5833 12.1833","1950-1970",107,6.55540968954075,2.81370961452804,3.43999992311001
1812,91.8521182045952,82.1805555969991,6.76564501006637,6,1969,48.5833,12.1833,"48.5833 12.1833","1950-1970",117,5.4651638122703,3.38177411795984,4.30152164298393
1572,88.1062894426245,68.499349260268,6.28887082717472,6,1970,48.5833,12.1833,"48.5833 12.1833","1950-1970",118,3.714917949752,2.78822574412991,3.56988880909565
2184,118.407605378561,29.7066206279071,5.35209665456486,7,1951,49.1667,11.45,"49.1667 11.45","1950-1970",111,4.77295071298837,2.32935478664454,3.39739122841021
1992,106.207049423225,109.61880191581,7.14048371136549,7,1952,49.1667,11.45,"49.1667 11.45","1950-1970",108,6.57245886948754,2.84451606545237,4.54155545404388
1920,101.65825583166,72.6562793635283,7.27145145037362,7,1953,49.1667,11.45,"49.1667 11.45","1950-1970",100,7.12360639815203,4.96064505041126,6.2636955121694
2040,110.431975929934,32.1301318853363,5.74774180701183,7,1954,49.1667,11.45,"49.1667 11.45","1950-1970",121,5.25836053820418,2.28790317466783,2.44760864094386
1572,94.7254695826774,60.0958471814319,6.21741921586856,7,1955,49.1667,11.45,"49.1667 11.45","1950-1970",120,3.5023769708961,-1.26564513300095,3.14588881857279
1788,97.4676415313319,57.8074858694891,6.34306437435049,7,1956,49.1667,11.45,"49.1667 11.45","1950-1970",126,4.11663925224824,4.76483860317497,6.35913029264497
2508,122.073166523622,57.4630087826139,6.66048372209433,7,1957,49.1667,11.45,"49.1667 11.45","1950-1970",109,7.02655721999338,-0.101774191273557,7.47836939806281
1908,101.889929293979,67.8677981192772,6.7970966222666,7,1958,49.1667,11.45,"49.1667 11.45","1950-1970",127,1.99311470954877,0.947741914300188,6.15999986231327
2388,113.0406387773,65.1603748378617,7.33064499743764,7,1959,49.1667,11.45,"49.1667 11.45","1950-1970",102,7.88139326646008,2.83951606556413,7.96380416982119
2316,113.265866203351,64.9988277261064,7.03274177828984,7,1960,49.1667,11.45,"49.1667 11.45","1950-1970",106,6.34540969423461,3.68822572401334,3.51315209538797
1908,103.127579326488,89.4092192957266,7.79112885811276,7,1961,49.1667,11.45,"49.1667 11.45","1950-1970",98,8.68639324846693,1.01758062241659,2.79122215983354
1668,94.1269859121629,101.840091805038,7.36838693207791,7,1962,49.1667,11.45,"49.1667 11.45","1950-1970",114,4.19901629958729,5.63161277734945,3.64369557073097
1644,84.4495473412952,66.5968782239326,6.50983856417119,7,1963,49.1667,11.45,"49.1667 11.45","1950-1970",111,5.3102457829461,6.47983856484174,5.59749987488613
1812,101.720593703538,57.1482800969962,6.484677274411,7,1964,49.1667,11.45,"49.1667 11.45","1950-1970",109,4.87204907142908,1.26499997172505,3.8472221362301
1932,104.568058605241,37.9285861760225,6.75193533295345,7,1965,49.1667,11.45,"49.1667 11.45","1950-1970",122,4.1309835142227,4.44419344905163,3.69695643910571
1980,109.848385429229,65.4844713194121,6.97483855377763,7,1966,49.1667,11.45,"49.1667 11.45","1950-1970",110,6.21590150040803,4.24967732436715,3.13521732122678
2160,109.188999441942,51.8450461041714,6.32290308447855,7,1967,49.1667,11.45,"49.1667 11.45","1950-1970",109,5.73237692105172,4.3349999031052,6.48222207733327
1632,95.854403172223,88.3421392135728,7.50387080001735,7,1968,49.1667,11.45,"49.1667 11.45","1950-1970",110,6.06827855288799,1.93774189217196,3.02978254097473
1596,89.0182435514426,86.425705061379,6.88806436216879,7,1969,49.1667,11.45,"49.1667 11.45","1950-1970",119,4.71311464875204,2.99806444911707,3.79282600218025
1608,92.1965399966072,63.1172122616465,6.45387082348668,7,1970,49.1667,11.45,"49.1667 11.45","1950-1970",125,3.32934418787844,1.90661286060969,3.35944436935501
3276,137.210807240566,25.6890052139053,5.73903212978715,8,1951,49.7167,10.2167,"49.7167 10.2167","1950-1970",113,5.88819658970002,3.55661282372931,4.65945641759216
2772,129.832610506688,84.6690791220208,6.28241921441569,8,1952,49.7167,10.2167,"49.7167 10.2167","1950-1970",104,7.6649998286739,4.21387087355458,5.9248887564573
2604,118.068789778464,54.5138392933682,6.72387081745171,8,1953,49.7167,10.2167,"49.7167 10.2167","1950-1970",101,7.99336047707217,5.67838696985235,7.0609781030444
2496,122.455525111883,42.2176795119507,6.82790307319092,8,1954,49.7167,10.2167,"49.7167 10.2167","1950-1970",118,6.19065559933298,3.49241927677705,3.4488042707393
1944,110.692827761701,43.4695350553973,6.40306437300939,8,1955,49.7167,10.2167,"49.7167 10.2167","1950-1970",118,4.63434415870942,-0.44951611898479,4.37844434657858
2100,108.892386542427,32.2270588000729,5.69967729195712,8,1956,49.7167,10.2167,"49.7167 10.2167","1950-1970",115,5.24729496468103,5.54677406956832,7.15989114431178
3216,140.857534314945,92.036992783785,8.88661270459453,8,1957,49.7167,10.2167,"49.7167 10.2167","1950-1970",103,7.81983589078681,0.871774174062715,8.19771720807108
2316,114.539503280712,56.8554115311913,6.47999985516071,8,1958,49.7167,10.2167,"49.7167 10.2167","1950-1970",123,2.81483600265728,1.70790318763184,7.00355539901389
2448,118.895219637212,65.7476605614963,7.6103224105412,8,1959,49.7167,10.2167,"49.7167 10.2167","1950-1970",104,8.72458996892464,3.53338701779684,8.64945632840871
2556,127.970087162482,70.4363746854472,7.14596758221066,8,1960,49.7167,10.2167,"49.7167 10.2167","1950-1970",100,7.16524574148362,4.9716127921016,4.28141294778122
2376,123.016064773616,64.7417056816337,7.51516112234564,8,1961,49.7167,10.2167,"49.7167 10.2167","1950-1970",96,9.24188503932941,1.93677415025811,3.53122214329326
2316,116.163635200679,88.471547582289,7.87338692079028,8,1962,49.7167,10.2167,"49.7167 10.2167","1950-1970",108,5.12081955767191,6.43870953350298,4.55945641982734
1764,89.8531760339216,58.0051838685966,6.6666127542154,8,1963,49.7167,10.2167,"49.7167 10.2167","1950-1970",116,5.9978687183962,6.95467726390569,6.53815202777395
2424,121.595747833528,70.2267981480356,6.74709662338418,8,1964,49.7167,10.2167,"49.7167 10.2167","1950-1970",116,5.6871310204237,2.41935478463288,4.88144433533566
2556,119.385260481003,64.1977207192107,7.7354836980662,8,1965,49.7167,10.2167,"49.7167 10.2167","1950-1970",114,5.1430326719295,5.73564503308866,4.53641294208153
2424,119.039690042711,57.8096063886194,6.3516127612562,8,1966,49.7167,10.2167,"49.7167 10.2167","1950-1970",107,7.01942607261179,5.36209665434135,4.2142390362392
2940,127.873594016086,46.666373014925,6.94048371583584,8,1967,49.7167,10.2167,"49.7167 10.2167","1950-1970",113,6.7417211607862,5.13822569160332,7.36433316872766
1920,103.548207503811,84.8590500275676,7.46806434920478,8,1968,49.7167,10.2167,"49.7167 10.2167","1950-1970",107,7.10188508716213,2.75080639012759,4.24956512240612
1656,101.462118333529,102.08200278445,8.27758046014294,8,1969,49.7167,10.2167,"49.7167 10.2167","1950-1970",120,5.43426217361674,3.84387088182472,4.76869554558526
2388,112.723986232075,78.1519034905102,7.44258047880665,8,1970,49.7167,10.2167,"49.7167 10.2167","1950-1970",117,4.33172121465389,3.47758056743131,4.30033323721339
3012,134.18306480964,45.1102840965732,6.49499985482544,9,1951,49.3333,10.8,"49.3333 10.8","1950-1970",115,5.18786873650111,2.78822574412991,3.85054339219452
2244,118.685304560729,86.1665848881583,6.66903210900003,9,1952,49.3333,10.8,"49.3333 10.8","1950-1970",112,6.91483591101514,3.40274185942666,5.08933321957787
2232,108.074423892562,96.6533654328484,8.33887078135364,9,1953,49.3333,10.8,"49.3333 10.8","1950-1970",103,7.45418016125494,5.16016117498399,6.54543463630683
2328,118.344473196911,43.1969967725348,6.63548372265312,9,1954,49.3333,10.8,"49.3333 10.8","1950-1970",124,5.59524577657585,2.7849999377504,2.8903260223527
1752,103.166287878201,55.5367125651182,6.6593546898615,9,1955,49.3333,10.8,"49.3333 10.8","1950-1970",121,3.97663925537748,-0.665161275455067,3.63911102977064
