"site","year","gddreq","leafout_date"
30,35,211.582294205699,137
30,36,217.645321076134,136
30,37,200,133
30,38,200,130
30,39,200,129
30,40,200,137
30,41,200,133
30,42,200,132
30,43,209.905983229157,133
30,44,263.289469814982,141
30,45,210.664695474378,136
30,46,211.2147393081,144
30,47,200,136
30,48,249.817186584822,141
30,49,259.696708758503,140
30,50,253.376615640354,135
31,1,200,135
31,2,216.60804316055,140
31,3,200,130
31,4,200,137
31,5,200,134
31,6,227.63325233919,139
31,7,200,134
31,8,200,131
31,9,200,135
31,10,200,140
31,11,228.135028083189,136
31,12,205.274945295555,138
31,13,244.155333578672,142
31,14,200,136
31,15,200,136
31,16,200,138
31,17,200,137
31,18,200,135
31,19,200,136
31,20,200,128
31,21,263.014309198691,150
31,22,200,136
31,23,200,136
31,24,238.518888011917,140
31,25,200,138
31,26,211.041733994154,136
31,27,217.59028847769,141
31,28,213.870880726482,134
31,29,200,137
31,30,200,135
31,31,200,138
31,32,200,130
31,33,208.178619437137,136
31,34,204.745628670763,133
31,35,200,136
31,36,200,137
31,37,214.057244114992,135
31,38,200,135
31,39,200,134
31,40,200,137
31,41,200,131
31,42,226.873710130485,142
31,43,200,136
31,44,200,130
31,45,200,135
31,46,227.421379348813,138
31,47,200,137
31,48,200,132
31,49,248.688942793259,142
31,50,235.678681769113,142
32,1,200,131
32,2,200,138
32,3,200,133
32,4,200,132
32,5,200,136
32,6,200,134
32,7,200,134
32,8,200,130
32,9,200,135
32,10,200,138
32,11,200,131
32,12,200,137
32,13,200,139
32,14,227.632094492116,140
32,15,200,134
32,16,239.189600937478,142
32,17,218.40730939082,134
32,18,202.948059501934,136
32,19,200,134
32,20,244.964543026027,139
32,21,200,133
32,22,231.450124126912,141
32,23,200,134
32,24,200,134
32,25,256.828823165537,140
32,26,200,139
32,27,200,134
32,28,229.863224665231,141
32,29,200,131
32,30,219.16439259039,135
32,31,200,136
32,32,200,132
32,33,200,133
32,34,206.992360267297,136
32,35,200,135
32,36,200,137
32,37,200,137
32,38,200,137
32,39,200,133
32,40,200,135
32,41,212.93957597078,139
32,42,200,135
32,43,216.626396405564,133
32,44,244.270643816646,143
32,45,200,133
32,46,200,135
32,47,200,137
32,48,235.406683528693,140
32,49,218.988523175239,137
32,50,200,134
33,1,251.111138220029,142
33,2,200,134
33,3,202.947067925239,134
33,4,203.747268655448,134
33,5,200,134
33,6,202.637938135708,134
33,7,224.057265327264,137
33,8,200,134
33,9,200,138
33,10,200,131
33,11,201.223288179586,133
33,12,200,135
33,13,262.971543251077,146
33,14,200,133
33,15,200,134
33,16,200,133
33,17,200,130
33,18,200,130
33,19,200,137
33,20,270.293023650484,146
33,21,200,132
33,22,223.542984806982,136
33,23,200,137
33,24,200,134
33,25,200,141
33,26,200,138
33,27,247.552428688389,145
33,28,200,128
33,29,262.890603136584,143
33,30,229.237419469687,136
33,31,200,134
33,32,200,141
33,33,200,130
33,34,200,136
33,35,219.532417270751,137
33,36,217.689252969485,135
33,37,200,135
33,38,223.357523815515,145
33,39,201.813441914475,137
33,40,200,134
33,41,200,137
33,42,204.530285432938,136
33,43,200,134
33,44,204.253518845396,138
33,45,200,133
33,46,236.092089078004,138
33,47,200,135
33,48,200,137
33,49,200,137
33,50,240.341974040434,137
34,1,207.658613943295,142
34,2,208.235061287216,133
34,3,211.212532213813,141
34,4,200,139
34,5,200,136
34,6,247.530221505175,136
34,7,200,134
34,8,200,135
34,9,206.37109253494,133
34,10,221.048164502502,139
34,11,200,133
34,12,200,136
34,13,229.960611328888,136
34,14,200,134
34,15,200,134
34,16,200,136
34,17,206.610318296114,140
34,18,200,139
34,19,200,144
34,20,200,135
34,21,200,138
34,22,200,137
34,23,201.770539484162,138
34,24,200,142
34,25,200,131
34,26,200,128
34,27,200,135
34,28,200,134
34,29,202.866379919679,134
34,30,200,130
34,31,200,133
34,32,206.730409027674,137
34,33,250.401860031792,146
34,34,200,133
34,35,200,137
34,36,200,132
34,37,218.937203964976,133
34,38,247.67200257215,140
34,39,213.585152353434,134
34,40,216.352233006872,143
34,41,200,141
34,42,200,128
34,43,207.722578871091,142
34,44,200,135
34,45,200,138
34,46,200,135
34,47,200,130
34,48,200,137
34,49,200,133
34,50,208.59355320018,137
35,1,200,136
35,2,200,138
35,3,200,134
35,4,200,135
35,5,203.112462212531,137
35,6,200,137
35,7,242.441153052277,140
35,8,200,138
35,9,200,139
35,10,200,137
35,11,200,140
35,12,202.991557242509,133
35,13,200,133
35,14,200,142
35,15,230.45106957465,142
35,16,200,136
35,17,200,134
35,18,200,138
35,19,200,138
35,20,234.306885512098,141
35,21,200,135
35,22,200,130
35,23,200,133
35,24,200,132
35,25,200,134
35,26,239.106471664369,144
35,27,310.78886190102,151
35,28,276.5404109637,141
35,29,200,134
35,30,200,134
35,31,200,140
35,32,200,134
35,33,200,137
35,34,200,136
35,35,293.242607493271,145
35,36,202.77580599485,131
35,37,200,140
35,38,200,134
35,39,200,137
35,40,200,139
35,41,200,136
35,42,200,130
35,43,213.375413280479,136
35,44,200,132
35,45,200,138
35,46,200,133
35,47,200,133
35,48,200,139
35,49,200,134
35,50,244.402816731224,141
36,1,200,133
36,2,200,137
36,3,200,136
36,4,218.500877542045,135
36,5,200,135
36,6,232.790290885943,138
36,7,200,134
36,8,200,136
36,9,200,139
36,10,215.669458385885,140
36,11,226.392401661812,140
36,12,200,138
36,13,267.74194229397,143
36,14,200,135
36,15,200,134
36,16,200,133
36,17,200,134
36,18,200,137
36,19,267.597960935488,148
36,20,235.658777772098,146
36,21,200,133
36,22,200,133
36,23,228.360210100037,141
36,24,253.768701616684,150
36,25,234.554928415734,145
36,26,200,134
36,27,200,136
36,28,200,137
36,29,200,136
36,30,200,134
36,31,200,139
36,32,200,137
36,33,200,137
36,34,200,131
36,35,200,133
36,36,200,134
36,37,200,135
36,38,200,137
36,39,233.347678457092,141
36,40,200,141
36,41,200,134
36,42,200,133
36,43,200,137
36,44,202.972643975388,135
36,45,200,130
36,46,200,131
36,47,207.558678065356,135
36,48,200.978074639319,134
36,49,262.119777521931,145
36,50,242.163821311527,143
37,1,200,138
37,2,200,139
37,3,200,133
37,4,223.43952095299,137
37,5,200,134
37,6,212.555232680926,136
37,7,200,143
37,8,200,133
37,9,200,131
37,10,200.788335057631,137
37,11,200,137
37,12,214.579619721304,138
37,13,217.603599026354,131
37,14,200,134
37,15,200,141
37,16,200,132
37,17,200,132
37,18,211.165756674982,144
37,19,215.31501123726,137
37,20,200,133
37,21,200,133
37,22,229.200446669492,139
37,23,200,133
37,24,225.22711739099,138
37,25,250.363976359991,143
37,26,205.369537820532,133
37,27,200,139
37,28,231.406899317856,142
37,29,229.521897555123,133
37,30,200,138
37,31,233.749953238556,145
37,32,212.426520926134,138
37,33,211.260959757439,138
37,34,208.772291145232,135
37,35,208.348794386713,138
37,36,200,137
37,37,200,129
37,38,200,137
37,39,218.241864848929,134
37,40,200,136
37,41,200,134
37,42,239.684002089646,140
37,43,231.783687706317,139
37,44,316.764149684207,152
37,45,200,135
37,46,200,131
37,47,225.666588090648,142
37,48,200,135
37,49,200,139
37,50,200,136
38,1,200,132
38,2,322.358940498438,153
38,3,200,134
38,4,200,136
38,5,221.343310976674,139
38,6,200,142
38,7,200,137
38,8,200,137
38,9,228.658185725896,143
38,10,200,135
38,11,228.021625617031,138
38,12,200,134
38,13,200,134
38,14,210.19041232198,136
38,15,200,131
38,16,200,138
38,17,200,135
38,18,254.749873214408,141
38,19,234.285456567616,142
38,20,200,135
38,21,200,134
38,22,200,131
38,23,200,131
38,24,200,136
38,25,200,131
38,26,236.256586438502,138
38,27,200,137
38,28,222.435258868749,138
38,29,200,135
38,30,200,130
38,31,200,138
38,32,213.307601930746,135
38,33,200,137
38,34,200,134
38,35,200,136
38,36,200,138
38,37,200,133
38,38,254.455389864335,141
38,39,200,134
38,40,200,134
38,41,202.244837344615,136
38,42,200,136
38,43,200,130
38,44,200,140
38,45,200,134
38,46,200,142
38,47,200,137
38,48,207.66471821817,134
38,49,200,133
38,50,200,132
39,1,200,130
39,2,200,136
39,3,200,135
39,4,200,130
39,5,239.17811871267,143
39,6,200,135
39,7,248.09135647333,145
39,8,200,135
39,9,200,136
39,10,200,135
39,11,234.874444765873,141
39,12,200,135
39,13,200,135
39,14,200,135
39,15,203.082833354296,137
39,16,200,139
39,17,200,138
39,18,200,134
39,19,200,133
39,20,231.78442054237,138
39,21,200,132
39,22,200,137
39,23,200,138
39,24,242.784933081073,143
39,25,200,133
39,26,218.517590653828,139
39,27,200,139
39,28,200,134
39,29,200,138
39,30,259.844854976709,143
39,31,200,135
39,32,200,138
39,33,200,136
39,34,230.628340211791,142
39,35,241.191772508136,138
39,36,200,131
39,37,200,132
39,38,200,138
39,39,200,138
39,40,200,136
39,41,200,136
39,42,200,136
39,43,200,138
39,44,200,139
39,45,201.077481063036,135
39,46,213.26124289909,148
39,47,200,133
39,48,200,134
39,49,200,137
39,50,200,134
40,1,200,137
40,2,200,132
40,3,200,131
40,4,200,136
40,5,229.833818992894,135
40,6,200,136
40,7,200.373577107852,133
40,8,200,138
40,9,207.277546510537,135
40,10,207.504223253716,137
40,11,200,137
40,12,200,136
40,13,200,133
40,14,200,136
40,15,258.041771421235,143
40,16,200,133
40,17,200,131
40,18,200,134
40,19,200,130
40,20,234.342623638046,142
40,21,200,136
40,22,200,134
40,23,217.110454337967,137
40,24,200,134
40,25,269.735425277815,147
40,26,200,137
40,27,200,136
40,28,234.17095083077,137
40,29,249.343032479632,136
40,30,200,138
40,31,200,139
40,32,200,133
40,33,200,136
40,34,200.245207343634,132
40,35,200,136
40,36,203.438591667947,137
40,37,200,138
40,38,200,137
40,39,200,136
40,40,200,132
40,41,200,137
40,42,231.008460712154,140
40,43,246.15372775082,142
40,44,244.930695232244,139
40,45,202.77822046209,137
40,46,200,137
40,47,201.014957404267,146
40,48,200,135
40,49,219.051055307934,134
40,50,200,135
41,1,200,135
41,2,200,135
41,3,200,135
41,4,200,132
41,5,200,135
41,6,217.010704743362,136
41,7,200,137
41,8,214.90606555002,141
41,9,210.44990117595,141
41,10,200,131
41,11,200,137
41,12,200,130
41,13,200,136
41,14,200,137
41,15,200,138
41,16,200,135
41,17,200,138
41,18,200,134
41,19,294.253915636919,147
41,20,200,139
41,21,200,131
41,22,200,136
41,23,202.062948511513,135
41,24,200,133
41,25,244.231105862313,139
41,26,200,134
41,27,200,131
41,28,200,137
41,29,200,138
41,30,200,135
41,31,200,135
41,32,200,133
41,33,280.81751982655,143
41,34,200,135
41,35,211.335807380657,139
41,36,200,135
41,37,211.193878875664,135
41,38,200,139
41,39,200,133
41,40,200,133
41,41,200,136
41,42,200,135
41,43,200,134
41,44,200,132
41,45,200,131
41,46,200,133
41,47,200,134
41,48,200,139
41,49,200,138
41,50,200,139
42,1,224.940919487755,136
42,2,200,133
42,3,237.278461899896,143
42,4,200,133
42,5,200.473532337123,139
42,6,252.746132687106,138
42,7,200,135
42,8,200,133
42,9,202.199875284524,132
42,10,200,133
42,11,200,134
42,12,225.187676918852,133
42,13,232.712954056278,141
42,14,200,140
42,15,204.203242399895,133
42,16,200,135
42,17,200,134
42,18,200,136
42,19,200,132
42,20,253.933211933201,150
42,21,228.650569017844,137
42,22,200,132
42,23,265.685445043202,142
42,24,236.174624612691,142
42,25,200,140
42,26,200,137
42,27,200,141
42,28,200,135
42,29,238.327009382122,139
42,30,200,136
42,31,214.207809028385,135
42,32,200,135
42,33,200,133
42,34,221.587006370517,138
42,35,200,135
42,36,218.309511644958,136
42,37,200,132
42,38,200,134
42,39,200,136
42,40,200,139
42,41,200,135
42,42,200,134
42,43,200,135
42,44,200,132
42,45,200,134
42,46,221.981094336663,135
42,47,200,134
42,48,200,134
42,49,200,138
42,50,200,137
43,1,200,136
43,2,200,136
43,3,200,136
43,4,200,136
43,5,200,131
43,6,200,137
43,7,200,129
43,8,200,139
43,9,211.445105036142,140
43,10,202.113865369042,136
43,11,205.538641257682,132
43,12,200,138
43,13,239.288278270721,140
43,14,200,131
43,15,200,137
43,16,200,138
43,17,228.011191775249,142
43,18,210.05315170249,137
43,19,200,136
43,20,243.680635185834,138
43,21,206.68872435842,134
43,22,200,135
43,23,200,138
43,24,223.496102486378,139
43,25,200,140
43,26,200,139
43,27,217.201618953075,137
43,28,200,134
43,29,200,134
43,30,200,136
43,31,200,138
43,32,200,128
43,33,233.494509660129,140
43,34,200,137
43,35,200,140
43,36,203.037595931439,140
43,37,200,144
43,38,200,136
43,39,200,135
43,40,218.150147330725,135
43,41,200,135
43,42,200,132
43,43,200,136
43,44,200,138
43,45,200,136
43,46,215.985112319792,133
43,47,200,131
43,48,200,135
43,49,200,135
43,50,239.663059780826,139
44,1,217.112552826841,134
44,2,200,131
44,3,248.924843141909,139
44,4,200,136
44,5,200,133
44,6,200,137
44,7,200,135
44,8,220.118603992595,131
44,9,200,135
44,10,201.389504694687,140
44,11,200,133
44,12,255.638542204335,148
44,13,207.690816897865,137
44,14,202.811529563804,134
44,15,245.845896005823,140
44,16,200,130
44,17,200,132
44,18,200,137
44,19,200,134
44,20,200,139
44,21,204.489223007339,132
44,22,200,133
44,23,212.756035820905,138
44,24,200,134
44,25,200,140
44,26,200,136
44,27,200,134
44,28,200,140
44,29,216.932323850567,139
44,30,200,134
44,31,234.337188490891,141
44,32,200,136
44,33,200,135
44,34,200,133
44,35,200,135
44,36,200,136
44,37,200,137
44,38,245.692539522949,142
44,39,219.705065841381,138
44,40,200,134
44,41,223.727342173553,138
44,42,200,137
44,43,200,128
44,44,200,130
44,45,200,136
44,46,200,128
44,47,239.159861082692,141
44,48,229.950014534512,139
44,49,200,135
44,50,200,134
45,1,200,135
45,2,200,134
45,3,200,133
45,4,256.687900226462,146
45,5,200,134
45,6,200,136
45,7,257.117303992195,142
45,8,200,135
45,9,200,133
45,10,200,130
45,11,200,131
45,12,202.687417146769,135
45,13,200,133
45,14,200,134
45,15,200,137
45,16,200,134
45,17,252.707850410678,148
45,18,200,140
45,19,200,133
45,20,200,136
45,21,200,135
45,22,200,136
45,23,200,136
45,24,200,133
45,25,202.346687087272,133
45,26,200,137
45,27,200,140
45,28,200,134
45,29,200,140
45,30,257.568784657314,143
45,31,200,131
45,32,200,135
45,33,200,134
45,34,200,134
45,35,200,141
45,36,200,135
45,37,200,136
45,38,200,137
45,39,200,129
45,40,212.543662754131,137
45,41,219.755129443207,135
45,42,244.707851872784,137
45,43,200,134
45,44,231.262237464568,137
45,45,200,137
45,46,200,137
45,47,200,136
45,48,200,131
45,49,208.434589241803,131
45,50,200,137
