"datasetID","study","genus","species","woody","provenance.lat","provenance.long","continent","year","fieldchill","fieldsample.date","chilltemp","chillphotoperiod","chilldays","forcetemp","forcetemp_night","photoperiod_day","photoperiod_night","respvar","response","response.time","respvar.simple","Exp_Chilling_Hours","Exp_Utah_Model","Exp_Chill_portions","Field_Chilling_Hours","Field_Utah_Model","Field_Chill_portions","Total_Chilling_Hours","Total_Utah_Model","Total_Chill_portions","forceday","forcenight","photonight","photo","force"
"basler12","exp1","Betula","pendula","yes",46.85,9.53,"europe",2009,"","3-Mar-2009","","","","meandaily","","11","13","degreedaystobudburst","timeonly",139.67,"thermaltime",NA,NA,NA,1297,1194.5,89.6547488698292,1297,1194.5,89.6547488698292,NA,NA,13,11,NA
"basler12","exp1","Betula","pendula","yes",46.2,7.033,"europe",2009,"","3-Mar-2009","","","","meandaily","","9.5","14.5","degreedaystobudburst","timeonly",108.17,"thermaltime",NA,NA,NA,1345,1234.5,81.8044874041654,1345,1234.5,81.8044874041654,NA,NA,14.5,9.5,NA
"basler12","exp1","Betula","pendula","yes",46.85,9.53,"europe",2009,"","3-Mar-2009","","","","meandaily","","11","13","degreedaystobudburst","timeonly",99.26,"thermaltime",NA,NA,NA,1297,1194.5,89.6547488698292,1297,1194.5,89.6547488698292,NA,NA,13,11,NA
"Heide03","exp1","Betula","pendula","yes",60.5,7.7,"europe",NA,"no","","5","10","100","15","","24","0","daystobudburst","timeonly",5.83,"daystobudburst",2400,2400,79.7260994192048,NA,NA,NA,2400,2400,79.7260994192048,15,NA,0,24,15
"Heide03","exp1","Betula","pendula","yes",60.5,7.7,"europe",NA,"no","","5","10","100","15","","24","0","daystobudburst","timeonly",8.57,"daystobudburst",2400,2400,79.7260994192048,NA,NA,NA,2400,2400,79.7260994192048,15,NA,0,24,15
"Heide03","exp1","Betula","pendula","yes",60.5,7.7,"europe",NA,"no","","5","10","100","15","","24","0","daystobudburst","timeonly",12.6,"daystobudburst",2400,2400,79.7260994192048,NA,NA,NA,2400,2400,79.7260994192048,15,NA,0,24,15
"Heide03","exp1","Betula","pendula","yes",60.5,7.7,"europe",NA,"no","","5","10","130","15","","24","0","daystobudburst","timeonly",1.71,"daystobudburst",3120,3120,104.06281795064,NA,NA,NA,3120,3120,104.06281795064,15,NA,0,24,15
"Heide03","exp1","Betula","pendula","yes",60.5,7.7,"europe",NA,"no","","5","10","130","15","","24","0","daystobudburst","timeonly",0.17,"daystobudburst",3120,3120,104.06281795064,NA,NA,NA,3120,3120,104.06281795064,15,NA,0,24,15
"Heide03","exp1","Betula","pendula","yes",60.5,7.7,"europe",NA,"no","","5","10","130","15","","24","0","daystobudburst","timeonly",5.06,"daystobudburst",3120,3120,104.06281795064,NA,NA,NA,3120,3120,104.06281795064,15,NA,0,24,15
"Heide03","exp1","Betula","pendula","yes",60.5,7.7,"europe",NA,"no","","5","10","40","15","","24","0","daystobudburst","timeonly",26.66,"daystobudburst",960,960,31.8918595470733,NA,NA,NA,960,960,31.8918595470733,15,NA,0,24,15
